neigbourhood,add1,add2,postal,des,builtuparea,noofrooms,nooftoilets,price S$,psf S$,agent,ref
Bukit Batok,"Bukit Batok, Blk 304","Blk 304, Bukit Batok Street 31, 650304",650304,4 Rooms HDB Flat,1001,3,2,320000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/bukit-batok/sale-14092612/
Bukit Batok,"Bukit Batok, Blk 304","Blk 304, Bukit Batok Street 31, 650304",650304,4 Rooms HDB Flat,1001,3,2,320000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/bukit-batok/sale-14065891/
Bukit Batok,"Bukit Batok, Blk 304","Blk 304, Bukit Batok Street 31, 650304",650304,4 Rooms HDB Flat,1001,3,2,320000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/bukit-batok/sale-14029361/
Bukit Batok,"Bukit Batok, Blk 219","Blk 219, Bukit Batok Street 21, 650219",650219,4 Rooms HDB Flat,1001,3,2,350000,371.74721189591077,Jackson Goh - GEX REAL ESTATE PTE LTD,/bukit-batok/sale-14113057/
Bukit Batok,"Bukit Batok, Blk 288C","Blk 288C, BUKIT BATOK STREET 25, 652288",652288,4 Rooms HDB Flat,1000,3,2,374000,374.0,Ken Neo - ORANGETEE & TIE PTE LTD,/bukit-batok/sale-14109334/
Bukit Batok,"Bukit Batok, Blk 289F","Blk 289F, Bukit Batok Street 25, 655289",655289,4 Rooms HDB Flat,990,3,2,400000,371.74721189591077,Jackson Goh - GEX REAL ESTATE PTE LTD,/bukit-batok/sale-13870038/
Bukit Batok,"Bukit Batok, Blk 310","Blk 310, BUKIT BATOK STREET 32, 650310",650310,4 Rooms HDB Flat,958,3,2,320000,334.15,Khairul  - ERA REALTY NETWORK PTE LTD,/bukit-batok/sale-14109924/
Bukit Batok,"Bukit Batok, Blk 319","Blk 319, Bukit Batok Street 33, 650319",650319,4 Rooms HDB Flat,904,3,2,330000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/bukit-batok/sale-13443713/
Bukit Merah,"Bukit Merah, Blk 51","Blk 51, LENGKOK BAHRU, 150051",150051,4 Rooms HDB Flat,904,3,2,398000,440.34,Kumar  - PROPNEX REALTY PTE LTD,/bukit-merah/sale-14110057/
Bukit Merah,"Bukit Merah, Blk 34","Blk 34, Telok Blangah Way, 090034",090034,4 Rooms HDB Flat,882,3,2,390000,371.74721189591077,John Khoo - PROPSELLER PTE. LTD.,/bukit-merah/sale-14111836/
Bukit Merah,"Bukit Merah, Blk 60","Blk 60, TELOK BLANGAH HEIGHTS, 100060",100060,3 Rooms HDB Flat,872,3,2,395000,452.98,MC Gan - ERA REALTY NETWORK PTE LTD,/bukit-merah/sale-13998170/
Bukit Merah,"Bukit Merah, Blk 60","Blk 60, Telok Blangah Heights, 100060",100060,4 Rooms HDB Flat,871,3,2,380000,436.28,Joan Bagus - PROPNEX REALTY PTE LTD,/bukit-merah/sale-14089327/
Bukit Merah,"Bukit Merah, Blk 104","Blk 104, Henderson Crescent, 150104",150104,4 Rooms HDB Flat,796,3,2,399000,371.74721189591077,Alvin Ong - ERA REALTY NETWORK PTE LTD,/bukit-merah/sale-14074460/
Bukit Merah,"Bukit Merah, Blk 18","Blk 18, 18 Telok Blangah Crescent, 090018",090018,3 Rooms HDB Flat,753,3,1,308000,371.74721189591077,Jessie Tan - PROPNEX REALTY PTE LTD,/bukit-merah/sale-14107908/
Bukit Panjang,"Bukit Panjang, Blk 413","Blk 413, Saujana Road, 670413",670413,5 Rooms HDB Flat,1313,4,2,390000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/bukit-panjang/sale-14092605/
Bukit Panjang,"Bukit Panjang, Blk 413","Blk 413, Saujana Road, 670413",670413,5 Rooms HDB Flat,1313,4,2,390000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/bukit-panjang/sale-14049059/
Bukit Panjang,"Bukit Panjang, Blk 477","Blk 477, Segar Road, 670477",670477,5 Rooms HDB Flat,1184,4,2,390000,371.74721189591077,SEBASTIAN SOO - PROPNEX REALTY PTE LTD,/bukit-panjang/sale-14100204/
Bukit Panjang,"Bukit Panjang, Blk 249","Blk 249, BANGKIT ROAD, 670249",670249,4 Rooms HDB Flat,1119,3,2,355000,317.25,Jovi Leong - ERA REALTY NETWORK PTE LTD,/bukit-panjang/sale-14100652/
Bukit Panjang,"Bukit Panjang, Blk 208","Blk 208, PETIR ROAD, 670208",670208,4 Rooms HDB Flat,1119,3,2,370000,330.65,Mar Inn Chee - MAR PROPERTY NETWORK PTE. LTD.,/bukit-panjang/sale-13431572/
Bukit Panjang,"Bukit Panjang, Blk 126","Blk 126, PENDING ROAD, 670126",670126,4 Rooms HDB Flat,1108,3,2,350000,315.88,Mar Inn Chee - MAR PROPERTY NETWORK PTE. LTD.,/bukit-panjang/sale-13410144/
Bukit Panjang,"Bukit Panjang, Blk 108","Blk 108, GANGSA ROAD, 670108",670108,4 Rooms HDB Flat,1108,3,2,388000,350.18,RAMLAN ABD RAHMAN - ERA REALTY NETWORK PTE LTD,/bukit-panjang/sale-14078737/
Bukit Panjang,"Bukit Panjang, Blk 633B","Blk 633B, SENJA ROAD, 672633",672633,4 Rooms HDB Flat,1001,3,2,399000,398.6,Joan Bagus - PROPNEX REALTY PTE LTD,/bukit-panjang/sale-13419333/
Bukit Panjang,"Bukit Panjang, Blk 623","Blk 623, SENJA ROAD, 670623",670623,4 Rooms HDB Flat,979,3,2,375000,383.04,Ben Yeo - ERA REALTY NETWORK PTE LTD,/bukit-panjang/sale-13660058/
Choa Chu Kang,"Choa Chu Kang, Blk 444","Blk 444, CHOA CHU KANG AVENUE 4, 680444",680444,5 Rooms HDB Flat,1292,4,2,380000,294.3,Thiru - ERA REALTY NETWORK PTE LTD,/choa-chu-kang/sale-14004242/
Choa Chu Kang,"Choa Chu Kang, Blk 620","Blk 620, CHOA CHU KANG STREET 62, 680620",680620,4 Rooms HDB Flat,1163,3,2,400000,343.94,Alvin Lim - PROPNEX REALTY PTE LTD,/choa-chu-kang/sale-14032103/
Choa Chu Kang,"Choa Chu Kang, Blk 679","Blk 679, Choa Chu Kang Crescent, 680679",680679,4 Rooms HDB Flat,1130,3,2,328000,290.27,Joan Bagus - PROPNEX REALTY PTE LTD,/choa-chu-kang/sale-13999623/
Choa Chu Kang,"Choa Chu Kang, Blk 205","Blk 205, CHOA CHU KANG CENTRAL, 680205",680205,4 Rooms HDB Flat,1119,3,2,400000,357.46,Mar Inn Chee - MAR PROPERTY NETWORK PTE. LTD.,/choa-chu-kang/sale-13431570/
Choa Chu Kang,"Choa Chu Kang, Blk 683B","Blk 683B, Choa Chu Kang Crescent, 682683",682683,4 Rooms HDB Flat,979,3,2,299000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/choa-chu-kang/sale-13603861/
Choa Chu Kang,"Choa Chu Kang, Blk 685A","Blk 685A, CHOA CHU KANG CRESCENT, 681685",681685,4 Rooms HDB Flat,969,3,2,320000,330.24,Joan Bagus - PROPNEX REALTY PTE LTD,/choa-chu-kang/sale-14092293/
Choa Chu Kang,"Choa Chu Kang, Blk 685A","Blk 685A, CHOA CHU KANG CRESCENT, 681685",681685,4 Rooms HDB Flat,969,3,2,338888,349.73,Kenneth Ang - MINDLINK GROUPS PTE LTD,/choa-chu-kang/sale-13666909/
Choa Chu Kang,"Choa Chu Kang, Blk 690D","Blk 690D, Choa Chu Kang Crescent, 684690",684690,4 Rooms HDB Flat,968,3,2,330000,371.74721189591077,SEBASTIAN SOO - PROPNEX REALTY PTE LTD,/choa-chu-kang/sale-14110722/
Choa Chu Kang,"Choa Chu Kang, Blk 26","Blk 26, TECK WHYE LANE, 680026",680026,3 Rooms HDB Flat,796,3,2,275000,345.48,Joan Bagus - PROPNEX REALTY PTE LTD,/choa-chu-kang/sale-13426676/
Clementi,"Clementi, Blk 301","Blk 301, CLEMENTI AVENUE 4, 120301",120301,4 Rooms HDB Flat,990,3,2,398000,402.05,Max Ang - ORANGETEE & TIE PTE LTD,/clementi/sale-14065365/
Geylang,"Geylang, Blk 121","Blk 121, PAYA LEBAR WAY, 381121",381121,4 Rooms HDB Flat,979,3,2,400000,408.58,Eric Tay - PROPNEX REALTY PTE LTD,/geylang/sale-13463967/
Hougang,"Hougang, Blk 413","Blk 413, HOUGANG AVENUE 10, 530413",530413,4 Rooms HDB Flat,1206,3,2,399000,331.09,Francis Ng - HUTTONS ASIA PTE LTD,/hougang/sale-13880886/
Hougang,"Hougang, Blk 102","Blk 102, HOUGANG AVENUE 1, 530102",530102,4 Rooms HDB Flat,1130,3,2,388000,343.42,Max Ang - ORANGETEE & TIE PTE LTD,/hougang/sale-14092391/
Hougang,"Hougang, Blk 549","Blk 549, HOUGANG STREET 51, 530549",530549,4 Rooms HDB Flat,1119,3,2,390000,348.53,Carol Hon - PROPNEX REALTY PTE LTD,/hougang/sale-14067543/
Hougang,"Hougang, Blk 549","Blk 549, HOUGANG STREET 51, 530549",530549,4 Rooms HDB Flat,1108,3,2,390000,351.99,Adam Wang - FER PROPERTIES PTE LTD,/hougang/sale-14111414/
Hougang,"Hougang, Blk 102","Blk 102, Hougang Avenue 1, 530102",530102,4 Rooms HDB Flat,1097,3,2,395000,371.74721189591077,Alvin Ong - ERA REALTY NETWORK PTE LTD,/hougang/sale-14013109/
Hougang,"Hougang, Blk 173","Blk 173, Hougang Avenue 1, 530173",530173,4 Rooms HDB Flat,1076,3,2,378000,371.74721189591077,Mark Ng  - ORANGETEE & TIE PTE LTD,/hougang/sale-14113733/
Hougang,"Hougang, Blk 156","Blk 156, Hougang Street 11, 530156",530156,4 Rooms HDB Flat,1055,3,2,390000,371.74721189591077,John Khoo - PROPSELLER PTE. LTD.,/hougang/sale-14093942/
Hougang,"Hougang, Blk 18","Blk 18, HOUGANG AVENUE 3, 530018",530018,4 Rooms HDB Flat,990,3,2,345000,348.48,MJ Zhuo - ERA REALTY NETWORK PTE LTD,/hougang/sale-13996342/
Hougang,"Hougang, Blk 253","Blk 253, Hougang Avenue 3, 530253",530253,4 Rooms HDB Flat,979,3,2,373000,371.74721189591077,Alvin Ong - ERA REALTY NETWORK PTE LTD,/hougang/sale-14028555/
Hougang,"Hougang, Blk 674","Blk 674, Hougang Avenue 8, 530674",530674,4 Rooms HDB Flat,904,3,2,320000,353.98,Serene Chua - SRI PTE. LTD.,/hougang/sale-14060657/
Hougang,"Hougang, Blk 636","Blk 636, HOUGANG AVENUE 8, 530636",530636,4 Rooms HDB Flat,904,3,2,340000,376.11,Tan Hock Siew - ERA REALTY NETWORK PTE LTD,/hougang/sale-13530687/
Jurong East,"Jurong East, Blk 264","Blk 264, JURONG EAST STREET 24, 600264",600264,4 Rooms HDB Flat,1130,3,2,345000,305.31,Shawn Tan - PROPNEX REALTY PTE LTD,/jurong-east/sale-14041852/
